Year,Hist CH4 (W/m²),CH4 (ppb),Earth CH4 (tot) (Gg/yr),Earth CH4 (fuel) (Gg/yr)
1751,0.000508281967061,731.8381958007812,27003.076,5412.5472
1752,0.0010162567352663,732.8999633789062,27076.927,5426.6235
1753,0.0015239247974318,733.634033203125,27150.708,5440.6497
1754,0.0020312866450537,734.2020263671875,27224.467,5454.6348
1755,0.0025383427683148,734.736083984375,27298.18,5468.5741
1756,0.0030450936560881,735.4210205078125,27376.032,5483.2574
1757,0.0035515397959428,735.8930053710938,27449.654,5497.1054
1758,0.0040576816741483,736.2069702148438,27523.23,5510.9076
1759,0.0045635197756793,736.098876953125,27596.76,5524.6642
1760,0.0050690545842213,735.4841918945312,27670.221,5538.3706
1761,0.0055742865821744,735.7630004882812,27743.685,5552.438
1762,0.0060792162506586,736.3031005859375,27810.888,5565.2867
1763,0.0065838440695186,737.1810302734375,27878.043,5578.089
1764,0.0070881705173281,738.1030883789062,27945.153,5590.8448
1765,0.0075921960713951,738.9860229492188,28012.215,5603.554
1766,0.0080959212077662,739.8310546875,28087.501,5617.7746
1767,0.0085993464012314,740.72900390625,28154.47,5630.3905
1768,0.0091024721253283,741.2220458984375,28221.393,5642.96
1769,0.0096052988523479,741.7470703125,28288.269,5655.483
1770,0.0101078270533375,742.301025390625,28355.099,5667.9595
1771,0.0106100571981069,742.8711547851562,28587.501,5711.0844
1772,0.0111119897552318,744.0189819335938,28811.137,5752.5049
1773,0.0116136251920592,744.6629638671875,29034.707,5793.8582
1774,0.0121149639747109,744.8780517578125,29258.209,5835.1444
1775,0.0126160065680892,745.3670654296875,29481.644,5876.3635
1776,0.0131167534358804,746.048095703125,29714.186,5919.2406
1777,0.0136172050405595,746.7369384765625,29937.486,5960.325
1778,0.0141173618433949,746.7510375976562,30160.72,6001.3424
1779,0.0146172243044526,746.9070434570312,30383.886,6042.2926
1780,0.0151167928826005,747.2310791015625,30607.009,6083.1802
1781,0.0156160680355131,747.7660522460938,30736.631,6107.5717
1782,0.0161150502196753,748.2900390625,30854.556,6129.7117
1783,0.0166137398903876,748.6270141601562,30972.439,6151.7908
1784,0.0171121375017689,748.9340209960938,31090.232,6173.7999
1785,0.0176102435067627,749.2520141601562,31207.989,6195.7486
1786,0.0181080583571398,749.56396484375,31340.504,6220.415
1787,0.0186055825035035,749.6690673828125,31458.125,6242.2314
1788,0.0191028163952929,750.1610107421875,31575.656,6263.978
1789,0.0195997604807885,750.6470336914062,31693.145,6285.6635
1790,0.0200964152071147,751.1640625,31810.569,6307.2835
1791,0.0205927810202455,751.7080688476562,31865.741,6320.4195
1792,0.0210888583650075,752.2780151367188,31907.705,6330.882
1793,0.0215846476850846,752.6820678710938,31948.211,6341.1536
1794,0.0220801494230223,753.2520141601562,31988.481,6351.3403
1795,0.0225753640202311,753.841064453125,32028.829,6361.4746
1796,0.0230702919169912,754.51806640625,32075.644,6372.7403
1797,0.023564933552456,755.2560424804688,32123.194,6384.1105
1798,0.0240592893646568,756.113037109375,32169.707,6395.2277
1799,0.0245533597905062,756.9420776367188,32218.234,6406.659
1800,0.0250471452658026,757.7620239257812,32266.063,6417.5976
1801,0.0255406462252338,758.5840454101562,32467.454,6457.6869
1802,0.0260338631023808,759.507080078125,32706.916,6500.2708
1803,0.0265267963297225,760.508056640625,32892.931,6541.6358
1804,0.027019446338639,761.5410766601562,33120.38,6582.0487
1805,0.0275118135594156,762.6710815429688,33305.423,6622.6358
1806,0.0280038984212466,763.799072265625,33517.602,6664.3003
1807,0.0284957013522395,765.0220947265625,33723.35,6703.858
1808,0.0289872227794188,766.319091796875,33919.474,6743.0679
1809,0.0294784631287294,767.6550903320312,34120.312,6782.3081
1810,0.0299694228250409,769.1470947265625,34344.671,6821.9239
1811,0.0304601022921512,770.718017578125,34508.28,6864.2346
1812,0.0309505019527901,772.2101440429688,34668.173,6905.2993
1813,0.0314406222286237,773.7009887695312,34818.308,6945.0122
1814,0.0319304635402573,774.828125,34972.931,6984.9898
1815,0.0324200263072397,776.1400146484375,35130.807,7025.0067
1816,0.0329093109480667,777.3801879882812,35302.117,7067.1377
1817,0.0333983178801849,778.9910278320312,35458.839,7106.4383
1818,0.0338870475199954,780.3030395507812,35605.991,7145.0002
1819,0.0343755002828575,781.426025390625,35757.049,7183.6354
1820,0.0348636765830919,782.4270629882812,35910.565,7222.0569
1821,0.0353515768339848,783.568115234375,36172.867,7282.7372
1822,0.0358392014477918,784.9560546875,36443.765,7344.7403
1823,0.0363265508357404,786.2210693359375,36718.711,7407.385
1824,0.0368136254080349,787.47509765625,36992.498,7469.5369
1825,0.0373004255738589,788.7140502929688,37261.342,7529.4706
1826,0.0377869517413797,789.8310546875,37523.099,7589.0216
1827,0.0382732043177511,790.8701171875,37814.814,7650.5974
1828,0.0387591837091173,791.9830322265625,38077.3,7709.4278
1829,0.0392448903206166,793.0000610351562,38334.106,7768.3198
1830,0.0397303245563843,793.9600219726562,38706.075,7845.9392
1831,0.0402154868195567,794.81005859375,38951.139,7912.4848
1832,0.0407003775122744,795.5789794921875,39225.152,7982.0412
1833,0.0411849970356855,796.1241455078125,39502.533,8051.4111
1834,0.0416693457899496,797.0440673828125,39787.465,8120.5163
1835,0.0421534241742405,797.8309936523438,40061.764,8188.9427
1836,0.0426372325867502,798.1060180664062,40420.426,8271.3598
1837,0.0431207714246918,798.115966796875,40682.225,8336.3748
1838,0.0436040410843031,797.93701171875,40968.321,8406.507
1839,0.0440870419608503,797.922119140625,41247.695,8476.2978
1840,0.0445697744486305,798.3870239257812,41545.925,8547.5138
1841,0.0450522389409757,799.06005859375,41797.003,8603.8887
1842,0.0455344358302561,800.0010986328125,42055.423,8662.9367
1843,0.046016365507883,801.4921875,42300.031,8721.1629
1844,0.046498028364312,803.6190795898438,42564.98,8780.4959
1845,0.0469794247890473,805.6651000976562,42868.142,8842.262
1846,0.0474605551706432,807.2559814453125,43078.272,8892.7967
1847,0.0479414198967092,807.9369506835938,43385.025,8955.9794
1848,0.048422019353912,808.092041015625,43595.241,9012.8601
1849,0.0489023539279787,808.2150268554688,43871.29,9071.8716
1850,0.0493824240037012,808.2490234375,44168.935,9132.2608
1851,0.04948550439733,808.4141235351562,44337.738,9148.2235
1852,0.0499465329041206,809.1631469726562,44573.432,9195.5603
1853,0.0507079701566862,810.404052734375,44838.033,9249.0598
1854,0.0515219541560283,811.7321166992188,45270.334,9334.0457
1855,0.0525009977038658,813.33203125,45500.121,9379.7581
1856,0.0533961644217038,814.796142578125,45803.104,9443.9217
1857,0.0544072819940084,816.4521484375,46014.325,9493.9452
1858,0.0555674478933802,818.3551025390625,46219.254,9546.1412
1859,0.0568095465205356,820.3960571289062,46538.439,9615.0927
1860,0.0579740391600852,822.3121337890625,46915.762,9688.332
1861,0.0592403394188214,824.399169921875,47210.371,9717.0733
1862,0.0608330029202564,827.0291748046875,47442.528,9752.0225
1863,0.0627286560697213,830.1661987304688,47833.84,9854.1301
1864,0.0648012784342749,833.6041259765625,48203.829,9903.1121
1865,0.0667802181952155,836.8942260742188,48548.849,9952.404
1866,0.0688611600851226,840.3621826171875,48908.905,10036.475
1867,0.0710357565798951,843.9951171875,49192.62,10027.378
1868,0.0729790881092712,847.2491455078125,49437.82,10053.706
1869,0.0746962564845505,850.1300659179688,49793.757,10099.603
1870,0.0760680983654031,852.4349975585938,50045.104,10186.148
1871,0.076994572933598,853.9930419921875,50524.089,10224.308
1872,0.0777315399603504,855.2329711914062,51175.081,10260.695
1873,0.0782873972182254,856.168212890625,51710.983,10301.126
1874,0.0792671350061979,857.820068359375,51894.325,10322.414
1875,0.0802440525827523,859.4690551757812,52460.623,10364.4
1876,0.0810671159498056,860.859130859375,52846.34,10396.757
1877,0.0819661949580041,862.3790893554688,53257.405,10433.039
1878,0.0830057963301224,864.13916015625,53623.456,10457.308
1879,0.0842701761986008,866.2831420898438,54169.236,10502.374
1880,0.0856907950827489,868.6961059570312,54921.164,10558.28
1881,0.0870360307088868,870.984130859375,55544.665,10580.852
1882,0.0883663015758479,873.2501220703125,56180.445,10600.738
1883,0.0897455516838251,875.6031494140625,56872.288,10628.799
1884,0.0912348095047652,878.148193359375,57306.917,10636.045
1885,0.0929150930207603,881.025146484375,57737.259,10645.271
1886,0.0945557453355027,883.8392333984375,58209.242,10650.053
1887,0.0963556905011227,886.93310546875,58863.156,10666.139
1888,0.098093867352692,889.9262084960938,59739.973,10697.633
1889,0.0999654562435039,893.1561889648438,60185.206,10707.067
1890,0.101831710150403,896.3831787109375,61096.473,10735.942
1891,0.1037265014000909,899.666259765625,61767.562,10757.225
1892,0.1059531937104168,903.5341796875,62232.59,10756.379
1893,0.1081009069119584,907.2741088867188,62513.741,10734.637
1894,0.1099368304188656,910.4781494140625,63205.32,10772.728
1895,0.1115084782058305,913.2259521484375,64011.615,10794.428
1896,0.1123919098383342,914.7710571289062,64606.255,10797.545
1897,0.11325056782486,916.2742919921875,65359.31,10807.712
1898,0.1148139910079558,919.0172119140625,66152.705,10829.204
1899,0.1166702708595834,922.2811889648438,67244.087,10875.019
1900,0.1185266930942102,925.5521240234375,68167.22,10904.821
1901,0.1203663453951743,928.8003540039062,68902.065,10932.031
1902,0.1225864083836567,932.7311401367188,69532.797,10970.288
1903,0.1248688857905467,936.783447265625,70745.614,11025.424
1904,0.1278632238848121,942.1142578125,71308.211,11056.295
1905,0.1308468094062168,947.4432983398438,72215.44,11103.658
1906,0.1339990142276991,953.0924072265625,73348.969,11181.883
1907,0.1373703509856512,959.1561279296875,75106.242,11285.847
1908,0.1401010863892996,964.0853271484375,75150.537,11314.787
1909,0.1430354529437747,969.3983764648438,76178.167,11382.099
1910,0.1460017484625685,974.787109375,77161.421,11447.166
1911,0.1485682722378653,979.46533203125,77955.545,11509.464
1912,0.1508349467995487,983.6058349609375,78831.098,11554.858
1913,0.1522741270779672,986.2423095703125,80305.949,11620.739
1914,0.1535647299308873,988.6109008789062,79487.775,11575.951
1915,0.1551161042939485,991.4610595703125,79873.675,11544.012
1916,0.158915466375639,998.453857421875,81357.135,11515.555
1917,0.1616847960581625,1003.570556640625,82477.893,11454.608
1918,0.1652254877730772,1010.130432128906,82256.711,11366.547
1919,0.1692596315558127,1017.63037109375,81255.506,11218.332
1920,0.1732441865289999,1025.0703125,83506.333,11271.196
1921,0.1770467054384099,1032.200317382812,82105.4,11083.143
1922,0.1807117925982609,1039.100219726562,83837.036,11151.739
1923,0.1839004914818465,1045.130126953125,86573.503,11358.786
1924,0.1861803063918819,1049.450073242188,87576.841,11441.459
1925,0.1876092709433576,1052.160034179688,88414.155,11474.193
1926,0.188368629176471,1053.60009765625,88737.346,11425.943
1927,0.1895109487906147,1055.7705078125,91261.882,11604.758
1928,0.1920663415076548,1060.640380859375,91876.292,11594.365
1929,0.1952163414956849,1066.660400390625,93901.233,11673.251
1930,0.1983353383379042,1072.64013671875,94035.853,11628.355
1931,0.2008554896542221,1077.490234375,93617.696,11605.144
1932,0.2031738240986964,1081.960205078125,93547.052,11581.742
1933,0.2055425319279043,1086.540283203125,95087.503,11629.609
1934,0.2082413291598845,1091.770263671875,97373.22,11716.841
1935,0.2109731925269416,1097.080078125,99126.992,11769.245
1936,0.213409873666377,1101.830322265625,101870.69,11845.158
1937,0.2157063198166393,1106.319946289062,104073.07,11904.172
1938,0.2179053643935976,1110.630737304688,104406.7,11874.37
1939,0.2211014812712997,1116.90966796875,106426.0,11950.533
1940,0.2227301235955588,1120.120239257812,108734.54,12026.421
1941,0.2243099525516996,1123.240478515625,110579.5,11960.711
1942,0.2268117516166269,1128.190185546875,111887.86,11891.285
1943,0.2290574369867803,1132.66015625,114114.58,11837.162
1944,0.230873853843764,1136.27001953125,115747.57,11717.344
1945,0.2324055076550178,1139.3203125,114802.92,11527.406
1946,0.234582344554695,1143.660522460938,118266.28,11550.139
1947,0.2375768405268081,1149.640258789062,122259.06,11234.766
1948,0.2405682056148392,1155.630126953125,124242.48,11254.883
1949,0.2429193225317319,1160.349975585938,125968.3,11263.267
1950,0.2446427262055202,1163.820556640625,129231.53,11184.892
1951,0.2471159605427325,1168.81005859375,133576.43,11286.871
1952,0.2498345709474073,1174.310913085938,136662.83,11325.697
1953,0.2542885674881887,1183.360595703125,140163.15,11338.467
1954,0.2597132254367991,1194.4306640625,144041.83,11394.803
1955,0.2656658157064472,1206.65087890625,151023.54,11482.306
1956,0.2726589217513125,1221.100830078125,155966.32,11542.757
1957,0.2797236931777048,1235.800170898438,160854.65,11542.868
1958,0.285274156501438,1247.42041015625,164598.81,11617.127
1959,0.2899793607912683,1257.320068359375,172011.32,11638.571
1960,0.2931953259865968,1264.119873046875,177181.98,11624.481
1961,0.2957125864720494,1269.461547851562,178987.4,11477.73
1962,0.3018728993061721,1282.5712890625,182105.11,11486.492
1963,0.3103747175292292,1300.79052734375,186789.21,11570.561
1964,0.3180507281560333,1317.370483398438,190851.32,11557.482
1965,0.3243443016980605,1331.060302734375,196224.15,11580.21
1966,0.329452706574933,1342.240478515625,203718.38,11611.058
1967,0.3349225407496951,1354.271606445312,206622.18,11591.563
1968,0.3427776017069369,1371.650512695312,210364.07,11733.11
1969,0.350713605446229,1389.341796875,217109.65,11934.464
1970,0.360394878121926,1411.100463867188,222093.5,12338.11
1971,0.3692236802144906,1431.120971679688,222904.49,12106.146
1972,0.3771712046573108,1449.2900390625,227613.57,12255.13
1973,0.3830648954959279,1462.860717773438,233404.69,12398.61
1974,0.3888000421491672,1476.140869140625,234805.74,12508.381
1975,0.3954996449336458,1491.740966796875,238494.43,13035.313
1976,0.4029112079624335,1509.110961914062,242034.85,13234.496
1977,0.4107788886390642,1527.680908203125,245416.66,13709.839
1978,0.4188573356541851,1546.890869140625,246887.69,14079.716
1979,0.4268998616459987,1566.160888671875,253234.46,14386.137
1980,0.4346753819148755,1584.940795898438,252454.19,14116.187
1981,0.4419488118525763,1602.650634765625,247031.14,14312.281
1982,0.4484940588807352,1618.730590820312,250111.19,14490.277
1983,0.454133518846821,1632.6201171875,250773.27,14709.011
1984,0.4589867287793295,1643.500854492188,254331.03,15114.803
1985,0.4640554657523369,1655.910522460938,258380.08,15560.265
1986,0.4691658548227213,1668.791137695312,261815.55,15792.094
1987,0.4731834853026435,1683.749755859375,264719.64,16135.74
1988,0.4782492718722982,1693.94091796875,269349.76,16493.102
1989,0.4836671462935422,1705.63037109375,275593.35,16418.148
1990,0.4866764620956296,1717.400634765625,278878.56,16094.21
1991,0.4919441723118366,1729.33056640625,277803.36,15981.091
1992,0.4949146237483361,1740.139282226562,277814.34,15490.928
1993,0.4956830285529928,1743.100708007812,278442.33,15709.497
1994,0.4978458886729615,1748.620361328125,280940.65,15100.473
1995,0.4997752582179121,1755.229614257812,285223.46,15251.567
1996,0.5005713451480236,1757.190551757812,288173.51,14119.186
1997,0.501871682005302,1761.501098632812,288145.27,14591.95
1998,0.505874100916031,1770.290649414062,286432.17,13825.168
1999,0.5088390392154462,1778.199462890625,288111.24,13794.532
2000,0.5092985751383967,1778.010131835938,293476.72,13743.184
2001,0.5086882546296848,1776.53076171875,293728.2,13634.127
2002,0.5090075626423908,1778.9609375,293698.57,13610.774
2003,0.5105958651929747,1783.58984375,301473.97,13900.462
2004,0.51032461568817,1784.230224609375,307867.32,14173.299
2005,0.5095269597624096,1783.360473632812,313256.63,14282.147
2006,0.5095745621966246,1783.421264648438,319023.14,14355.903
2007,0.5122151517195018,1788.951293945312,321669.21,14197.024
2008,0.5146560020717951,1798.419677734375,325460.78,14294.987
2009,0.5165206317383294,1802.101196289062,323565.25,14198.557
2010,0.5184851054250419,1807.850708007812,329247.73,14319.808
2011,0.5205097029851427,1813.070190429688,338215.82,14136.123
2012,0.5223971333664713,1815.26123046875,341757.25,14211.554
2013,0.5244103844422799,1822.580810546875,340804.57,14233.42
2014,0.5278419206221283,1831.470947265625,343816.11,14214.954
2015,0.5319992781265986,1834.0,344888.38,14182.622
2016,0.5350442028809451,1842.2,345866.65,14041.407
2017,0.5376654481868969,1849.2,350975.66,14088.78
2018,0.5408211232185522,1857.8,356107.5,13644.168
2019,0.5439829883633728,1866.3,359266.87,13407.743
2020,,,361919.03,13219.357
2021,,,365021.31,13432.314
